sap_id,name,branch_id,store_type,operational_date,address,latitude,longitude,phone,zipcode
AB12,KF.0434 Bahagia,2,MEDICAL,4/1/2013,Jl. Ruhui Rahayu Blok 1 NO.1 Gunung Bahagia,-1.2419798,116.8811381,081110678436,76114
AB13,KF.0435 Manggar,2,BASIC_HEALTH,4/1/2013,Jl. Mulawarman No.44 Manggar,-1.2262546,116.961736,081110678427,76116
AB14,KF.Bejo KF Bejo,2,BASIC_HEALTH,8/1/2015,Jl. Di Panjaitan No.21 Sumberejo,-1.241396,116.846732,08115962455,76124
AB15,KF.Ewalk,2,BASIC_HEALTH,8/1/2015,"Jl. Jend Sudirman RT.25 No.217, kelurahan gn bahagia. Kecamatan Balikpapan Selatan",-1.27426,116.87041,081110678428,76114
AB16,KF.Gumilang,2,BASIC_HEALTH,9/1/2015,"Jl. Mayjen Sutoyono. 92, Gunung Malang",-1.273375,116.84607,08115961933,76113
AB17,KF.Indrakila,2,BASIC_HEALTH,9/2/2015,Jl. Indrakila III Rt.35 Indrakila,-1.237041,116.856624,08115961918,23767
AB18,KF.Petung,2,BASIC_HEALTH,9/3/2015,Jl. Propinsi Km 17 Petung Penajam Paser Utara,-1.351355,116.670177,08115962744,68154
AB19,KF.Tarakan,2,BASIC_HEALTH,9/4/2015,Jl. Mulawarman Rt.43 Kel. Karang Anyar-Tarakan,3.313516,117.580724,081110678426,68132
AB20,KF.Grogot,2,BASIC_HEALTH,1/1/2016,Jl. Pengeran Hidayat Tana Grogot,-1.908731,116.19338,081110678447,76251
AB21,KF Bon Say,2,MEDICAL,6/1/2016,Jl. Letjen Suprapto No.25 Kebon Sayur,-1.234435,116.82098,081110678430,76131
AB22,KF Beurau,2,BASIC_HEALTH,6/1/2016,"Jl. Mangga II No. 2 Tanjung Redeb, Berau",2.14993,117.497564,081110678433,77315
AB23,KF Regency,2,BASIC_HEALTH,6/1/2016,Jl. Syarifuddin Yoes No. 3 Gunung Bahagia,-1.232961,116.8860153,081110678450,76114
AB24,KF KM 8,2,MEDICAL,10/16/2016,"jl. soekarnohatta km 8 no 235, batu ampar",-1.20011,116.883842,08115962023,76129
AB25,KF Ruhui,2,BASIC_HEALTH,10/16/2016,Jl. Ruhui Rahayu,-1.250034,116.899985,08115962464,76115
AB26,KF Batakan,2,BASIC_HEALTH,10/16/2016,Jl.  Marsma Iswahyudi Batakan,-1.256776,116.92303,08115962747,76115
AB27,KF Babulu,2,BASIC_HEALTH,12/1/2016,Jl.  Propinsi KM-48,-1.500362,116.460838,08115962497,76285
AB29,KF. Berau II,2,BASIC_HEALTH,12/1/2016,Jl. Durian III Tanjung Redab-Berau,2.147406,117.486103,08115962449,77311
AB30,KF. Sengkawit,2,NONE,12/1/2016,Jl. Sengkawit Tanjung Selor Bulungan,2.854991,117.369067,08115962451,71252
AB31,KF. Juwata,2,BASIC_HEALTH,12/1/2016,Jl. Aki Balak-Juwata Tarakan,3.337218,117.573388,08115962493,77111
AB32,KF. Kusumah Bangsa,2,MEDICAL,12/1/2016,"Jl. Kusuma Bangsa, Pamusian",3.303095,117.60757,08115962496,77113
AB33,KF. PRAPATAN,2,MEDICAL,8/1/2017,Jl. Prapatan no 33 Balikpapan,-1.2741816,116.820911,08115995892,76111
AB34,KF. SIMPANG PAIT,2,BASIC_HEALTH,9/1/2017,Jl. Negara Km 90 RT 07 Simpang Pait Kab Tana Grogot,-1.606905,116.163654,08115995894,76282
AB36,KF PENAJAM,2,NONE,4/18/2018,Jl. Provinsi Km. 2 Penajam Paser Utara,-1.260476,116.766187,08115988713,76141
AB37,KF NUNUKAN,2,BASIC_HEALTH,9/6/2018,"Jl. Pattimura Rt.6 No.99 Kec/Kab. Nunukan , Kel. Nunukan Timur",4.1401175,117.6567452,08115988714,77482
AB39,KF Berau III (Rinding),2,BASIC_HEALTH,8/26/2019,Jl. Marsama Iswahyudi kelurahan Rinding Kecamatan Teluk Bayur Kabupaten Berau Kalimantan timur,2.1649956,117.4505488,081110678432,77313
AB40,KF Bulungan Balikpapan,2,BASIC_HEALTH,7/12/2019,Jl. Kol. H. Soetadji RT 16 Tanjung Selor Ilir,2.845304,117.36889,081365696550,77212
AB41,KF Berau IV (Antasari),2,BASIC_HEALTH,8/26/2019,"Jl. Pangeran Antasari RT. 09 No. 1064, Tanjung Redep Kabupaten Berau Kalimantan Timur.",2.156953,117.496816,081110678425,45256
AB42,Klinik Mandiri KF Ria Kencana PKBI,2,NULL,1/1/1950,"Jl. Letnan Jend Suprapto No. 1, Kel. Gn. Kelua, Kec. Samarinda Ulu, Samarinda, Kalimantan Timur 75123",0,0,021,75111
AB44,KF Bandara BPN,2,NONE,4/16/2022,"Jl. Marsma R. Iswahyudi, Sepinggan, Kecamatan Balikpapan Selatan, Balikpapan, Kalimantan Timur 76115",-1.2658151,116.8977258,081159786721,76115
AB45,KF A. Yani II,2,BASIC_HEALTH,2/1/2023,"JL. Jend. A. Yani No. 20, Kel. Gn. Sari Ilir Kec. Balikpapan Tengah, Kota Balikpapan",-1.266137,116.837032,081255069304,76121
AB46,KF MT. Haryono II,2,BASIC_HEALTH,1/1/1950,Jl. MT. Haryono RT.41 Damai Baru,-1.254583321,116.868731,081345779117,76114
3101,UNIT BISNIS BANDA ACEH,3,NONE,1/1/1950,,0,0,0,
AA01,KF.0037 Diponegoro,3,BASIC_HEALTH,1/1/2003,Jl. Diponegoro No. 8,5.553818,95.3194918,081362614585,97572
AA02,KF.0060 Arun,3,MEDICAL,1/1/2003,Jl. Merdeka No. 47 B - C,5.18087,97.143713,081110678321,71452
AA03,KF.0081 Tm Zein,3,HEALTH_AND_CARE,1/1/2003,Jl. T.M. Zein No. 1 E,4.470177,97.970868,081110678299,24454
AA04,KF.0092 Peunyoung,3,MEDICAL,1/1/2003,Jl. Chairil Anwar No. 13,5.557803,95.321015,082165895472,23122
AA05,KF.0161 Seutui,3,BASIC_HEALTH,1/1/2003,Jl. Teuku Umar No. 201,5.54077,95.310245,081110678324,23243
AA06,KF.0292 Daud Beureuh,3,MEDICAL,1/1/2003,Jl. Pocut Baren No 37 C-D Kota Banda Aceh,5.562291,95.326384,082275582005,23681
AA07,KF.0397 Sigli,3,BASIC_HEALTH,1/1/2010,Jl. Perdagangan No. 1,5.3845625,95.9603125,081110678397,24115
AA0712,PPO KF 397 Tijue,3,NEW,1/1/2020,"Jl Banda Aceh-Medan , km 116 , Gp. Dayah Teungoh Tijue",5.360944,95.959905,081397609857,24151
AA08,KF.0402 Lamprit,3,BASIC_HEALTH,1/1/2011,Jl. Tgk Daud Beureueh No. 167,5.563752,95.335159,081110678297,24472
AA09,KF.0403 Bireun,3,MEDICAL,1/1/2011,Jl. T. Hamzah Bendahara No. 19,5.204031,96.6995458,082274479004,24251
AA10,KF.Pel006 RSUD Zainul Abidin,3,MEDICAL,1/1/2003,"Kompleks New RSUD, Jl. Tgk Daud Beureueh No.108",5.563397,95.338285,081356861166,24472
AA11,KF Unsyiah,3,BASIC_HEALTH,7/1/2020,"Jl. Teuku Nyak Arief, Banda Aceh",5.572899,95.364112,082274240511,23111
AA12,KF.0482 QMC,3,MEDICAL,1/1/2014,Jl.Tgk. Daud Beureueh No. 44,5.558187,95.326868,081110678088,23681
AA13,KF.Pel Simeuleu RSUD Simeulue,3,MEDICAL,8/1/2014,Jl. Teuku Raja Mahmud No.1 Kom,2.465275,96.376409,082299171850,23891
AA14,KF.Darsa Darsa,3,BASIC_HEALTH,11/1/2014,Jl. Darussalam No. 49 B Lhokse,5.183343,97.14533,085262857545,24315
AA15,KF.Lueng Bata Lueng Bata,3,BASIC_HEALTH,10/1/2014,Jl. Tengku Imuem lueng Bata No,5.544886,95.3343768,081110678448,24392
AA16,KF.Ulka Ulka,3,BASIC_HEALTH,9/1/2015,"Jl. T. Iskandar, Banda Aceh",5.552316,95.349054,082362850232,23117
AA17,KF. A. Yani Langsa 2,3,BASIC_HEALTH,11/16/2016,Jl. A. Yani No. 140 A-B Langsa,4.474083,97.962133,082261393010,24454
AA19,KF. Lampeuneurut,3,BASIC_HEALTH,12/1/2016,Jl. Soekarno Hatta No. 22,5.5170442,95.3165006,081362338987,23238
AA20,KF. Meulaboh,3,MEDICAL,12/1/2016,Jl. Gajah Mada No.63,4.154698,96.130381,081110678387,23652
AA24,KF. BATOH,3,BASIC_HEALTH,9/1/2017,Jl. MR. Mohammad Has,5.539729,95.330349,085362001536,23245
AA27,KlinikMandiriKFTapakTuan,3,NULL,1/1/1950,Jln. Merdeka no. 70,0,0,06562310677,33414
AA33,KF KEUTAPANG,3,SUPER_STORE,8/1/2018,"Jl. Mata Le, Keutapang - Banda Aceh",5.514852,95.303493,081110678279,23352
AA34,KF DRIEN RAMPAK,3,HEALTH_AND_CARE,12/1/2018,"Jl. Nasional, Drien Rampak Meulaboh - Aceh",4.15021,96.132909,081110678391,23616
AA35,KF NYAK MAKAM,3,MEDICAL,11/1/2018,"Jl. P. Nyak Makam, Ulee Kareng - Banda Aceh",5.556179,95.344362,082363265982,23117
AA36,KF Pel RS Tapaktuan,3,MEDICAL,10/1/2018,Jl. Ben Mahmud No 86 A Tapak Tuan- Aceh,3.286815,97.1575658,082331997447,23711
AA37,KF Prada,3,BASIC_HEALTH,3/12/2019,"Jl. Teuku Nyak Arif, Syiah Kuala, Banda Aceh",5.575504,95.347002,085372809997,23111
AA38,KF Takengon,3,MEDICAL,5/3/2019,"Jln Lebe Kader, Kecamatan Bebesan, Kota Takengon, Aceh Tengah",4.63358,96.842339,081376893680,71452
AA39,KF Kota Juang,3,BASIC_HEALTH,12/1/2019,"Jl. B. Aceh - Medan, Kota Juang, Bireuen",5.202362,96.697461,082370051086,24455
AA41,KF Merdeka Tapaktuan,3,BASIC_HEALTH,1/1/1950,Jl. Merdeka No. 69-70,3.255452,97.180347,082164990692,23711
AA42,KF Sultan Iskandar Muda,3,BASIC_HEALTH,1/1/1950,Jl. Nasional Meulaboh - Tapak Tuan,4.11854,96.311115,082155844208,20772
AA4211,PPO RS SIM Nagan Raya,3,MEDICAL,1/1/1950,Jl. Meulaboh - Tapaktuan RS Sultan,4.118741,96.311673,085275290852,23661
AA43,KF Punge,3,NONE,1/1/1950,"Jl. Sultan Iskandar Muda, Desa Pung",5.54995,9.530912,021,23231
AA44,KF Alfayat,3,MEDICAL,1/1/1950,"Jl. Sultan Malikul Saleh No.26, Neusu Aceh, Kec. Baiturrahman, Kota Banda Aceh",5.5364406,95.310749,00000,23241
AA45,KF Pel RSUD Teungku Peukan Blangpidie,3,MEDICAL,1/1/1950,"jln nasional padang, meurante susoh, Kecamaten Blang Pidie, Kabupaten Aceh Barat Daya, Aceh",3.7391784,96.7967337,080000,23764
3103,UNIT BISNIS BANDUNG,4,,1/1/1950,Jl. Cihampelas No. 7,0,0,02284281458,40171
AC01,KF.0010,4,BASIC_HEALTH,1/1/2003,Jl. Braga No.6,-6.92048416,107.6,08112157639,40111
AC02,KF.0011,4,BASIC_HEALTH,1/1/2003,Jl. Supratman No.72,-6.904162,107.628706,08112157640,40122
AC03,KF.0012,4,SUPER_STORE,1/1/2003,Jl. Merdeka No. 6,-6.907161,107.6109,08112157641,40115
AC04,KF.0014,4,SUPER_STORE,1/1/2003,Jl. Cihampelas No.7,-6.905765,107.604086,08112157642,40514
AC05,KF.0043,4,SUPER_STORE,1/1/2003,Jl. Buah Batu No.259,-6.945697,107.631542,08112157643,40264
AC06,KF.0051,4,SUPER_STORE,1/1/2003,Jl. Ir H. Juanda No.69 Bandung,-6.90047,107.612158,08112157644,67271
AC07,KF.0058,4,BASIC_HEALTH,1/1/2003,Jl. Pasir kaliki No.235,-6.897407,107.5966668,08112157645,17350
AC08,KF.0127,4,SUPER_STORE,1/1/2003,Jl. Raya Ujung Berung No.40,-6.914145,107.697997,08112157646,46156
AC09,KF.0204,4,BASIC_HEALTH,1/1/2003,Jl. Abdul Rachmansaleh No. 39,-6.907549,107.584005,08112157647,40174
AC10,KF.0240,4,BASIC_HEALTH,1/1/2003,Jl. Rancabolang No.69,-6.941234,107.663586,08112157648,40295
AC11,KF.0289,4,MEDICAL,1/1/2004,"Jalan BKR no. 87, RT. 01 RW. 06",-6.93803,107.61486,08112157649,46198
AC12,KF.0319,4,SUPER_STORE,1/1/2008,"Jl. Raya Venus No.27, Metro Marga Rahayu",-6.941502,107.667472,08112157650,40295
AC13,KF.0320 Amanah,4,SUPER_STORE,1/1/2008,Jl. Raya Cinunuk No. 192,-6.936844,107.730057,08112157651,40624
AC14,KF.0355 Pasteur,4,MEDICAL,1/1/2009,Jl. Lemah Neundeut No. 1E,-6.882676,107.580994,08112157652,40164
AC15,KF.0356,4,SUPER_STORE,1/1/2009,Jl. Banteng No.96,-6.933908,107.6225747,08112157653,40264
AC16,KF.0360,4,SUPER_STORE,1/1/2009,Jl. Prabu Geusan Ulun No.82 Sumedang,-6.856398,107.921927,08112157654,45311
AC17,KF.0380 antapani,4,SUPER_STORE,1/1/2010,Jl. Terusan Jakarta No.341,-6.9152257,107.6671725,08112157655,40291
AC18,KF.0405 Subang,4,SUPER_STORE,7/1/2011,Jl. Otista No. 199,-6.557513,107.772009,08112157656,53271
AC19,KF.0495 Buah Batu,4,BASIC_HEALTH,12/1/2013,Jl.Terusan Buah Batu No. 265,-6.962392689,107.6386812,08112157658,40287
AC20,KF.Gatsu,4,BASIC_HEALTH,11/1/2013,Jl. Gatot Subroto No. 235,-6.928603,107.6375448,08112157657,40283
AC21,KF.0498 Sindang Laya,4,MEDICAL,12/1/2013,Jl. Raya Sukamiskin No. 126B,-6.904892,107.67747,08112157659,40293
AC22,KF. MEKARGALIH,4,BASIC_HEALTH,9/1/2014,"Jl. Raya Rancaekek Dusun Dangdeur, Kel. Mekargalih, Jatinangor, Kab. Sumedang",-6.955924,107.77502,08112157662,43291
AC23,KF.Setia Budi,4,MEDICAL,7/1/2014,"Jl. Setiabudi No. 36, Taman sari , Bandung Wetan",-6.88267,107.6010798,08112157660,44163
AC24,KF.MELONG,4,SUPER_STORE,12/2/2014,"Jl, Melong Asih No.  67 Bandung",-6.9195227,107.5639377,08112157663,40213
AC25,KF.Cibaduyut,4,BASIC_HEALTH,11/1/2014,"Jl, Raya Cibaduyut No. 69B Bandung",-6.960158,107.593485,08112157661,40239
AC26,KF.Dago UNPAD,4,SUPER_STORE,4/1/2015,Jl. Ir H. Juanda No.248 Bandung,-6.882816,107.6146788,08112157665,40134
AC27,KF.Sulanjana 4,4,BASIC_HEALTH,1/1/2016,Jl. Sulanjana No.4 Bandung,-6.899894,107.6120876,08112157664,67271
AC28,KF.CIUMBULEUIT,4,BASIC_HEALTH,2/16/2016,Jl. Ciumbuleuit No.73 Bandung,-6.88086,107.603546,08112157667,41151
AC29,KF Tubagus,4,NONE,7/1/2016,Jl. Tubagus Ismail Raya No. 39A,-6.884742,107.61901,08112157668,40134
AC30,KF Lengkong,4,BASIC_HEALTH,12/1/2017,Jl. LENGKONG N0.117,-6.928741,107.613157,08112157670,40261
AC31,KF Bhakti Kencana,4,MEDICAL,2/1/2017,Jl. AH Nasution No. 258 C,-6.919311873,107.7083914,081110678349,40614
AC33,Apotek KF. Jatinangor,4,SUPER_STORE,11/1/2017,Jl. Raya Jatinangor,-6.936399,107.762301,08112157671,41281
AC34,Apotek KF. Lembang,4,MEDICAL,12/1/2017,Jl. Grand Hotel No. 23,-6.8170346,107.621039,08112157669,91413
AC35,Apotek KF Geger Kalong,4,SUPER_STORE,3/18/2018,Jl. Gegerkalong No.33,-6.870137,107.591391,08112157684,40153
AC37,Apotek KF 167,4,BASIC_HEALTH,1/1/2003,Jl. Raya Tagog No.515 Kota Cimahi,-6.875343,107.544765,08112157672,40523
AC38,Apotek KF 429,4,BASIC_HEALTH,1/1/2013,Jl. Raya Padalarang No.506 Kab Bandung Barat,-6.844604,107.48798,08112157675,45255
AC39,Apotek KF 497,4,BASIC_HEALTH,12/1/2013,Jl. Taman Kopo Indah Raya No. 99B RT 002 RW 003,-6.96676,107.57539,08112157677,40228
AC40,Apotek KF 381,4,MEDICAL,2/10/2019,Jalan Kopo Bihbul No. 7 RT01 RW01,-6.961308131,107.5790743,08112157673,40225
AC41,Apotek KF Arimbi,4,SUPER_STORE,10/1/2014,Jl. Gunung Batu No.93 Kota Bandung,-6.890483,107.563455,08112157678,21256
AC42,KF Katapang,4,SUPER_STORE,4/1/2015,"Jl. Terusan Kopo Km. 11 No. 73, Rt.003 Rw.008, Kel. Cilampeni, Kec. Katapang",-6.986979,107.559062,08112157679,53271
AC43,Apotek KF Cihanjuang,4,SUPER_STORE,3/16/2016,Jl. Daeng Muhamad Ardiwinata No.25 Kota Cimahi,-6.876335,107.550265,08112157680,40513
AC44,Apotek KF Cijerah Pola,4,BASIC_HEALTH,10/17/2017,Jl. Cijerah Raya No.225 Kota Bandung,-6.926408,107.5653708,08112157681,40213
AC45,Apotek KF Koposari,4,BASIC_HEALTH,11/1/2017,Jl. Kopo Cirangrang No.523 Kota Bandung,-6.9548875,107.5838129,08112157682,40227
AC46,Apotek KF Sariwangi,4,BASIC_HEALTH,12/15/2017,Jl. Sariwangi Raya No.132D Parongpong Kab. Bandung Barat,-6.8631388,107.5685532,08112157683,40559
AC47,KF BUAH BATU 2,4,NONE,9/1/2018,Jl. Buah Batu No. 250,-6.944396,107.629481,08112157686,40265
AC48,KF KOPO 75,4,MEDICAL,9/1/2018,Jl. Kopo No. 75,-6.931165,107.5964133,08112157688,40242
AC49,KF MARGA CINTA,4,BASIC_HEALTH,9/1/2018,Jl. Marga Cinta No. 58,-6.954825,107.643447,08112157687,40287
AC50,KF SOREANG,4,BASIC_HEALTH,9/1/2018,Jl. Raya Soreang,-7.018653,107.543912,08112157689,40914
AC51,KF BOJONGSOANG,4,MEDICAL,9/1/2018,Jl. Bojong Soang No. 85A,-6.980281,107.6337118,08112157690,40512
AC52,KF CIWIDEY,4,MEDICAL,6/20/2019,Jl. Bhayangkara No. 281,-7.103789,107.464793,08112312071,40973
AC53,KF PARONGPONG,4,BASIC_HEALTH,6/10/2019,Jl. Raya Kol. Masturi No. 209 Bandung,-6.8039395,107.5875915,08112312073,40559
AC54,KF M TOHA,4,BASIC_HEALTH,5/23/2019,Jl. Raya Moh Toha No. 274 Bandung,-6.951804,107.610495,081110678346,40243
AC57,Apotek KF Stasiun Bandung,4,NULL,8/6/2019,Jl. Stasiun Selatan No. 25,-6.915825,107.602689,08112312076,40181
AC58,KF Mandalajati,4,BASIC_HEALTH,3/10/2020,Jl. AH Nasution No. 105 Rt.004 Rw.002,-6.903931,107.666221,08112312470,40195
AC59,KF Cimareme,4,MEDICAL,5/8/2020,Jl. Raya Cimareme No.299,-6.860253,107.49971,08112312476,45464
AC60,KF Padasuka,4,BASIC_HEALTH,7/1/2020,Jl. Raya Barat No.791,-6.868882,107.529341,08112312075,42173
AC61,KF Holis,4,BASIC_HEALTH,1/1/1950,"Jl. Holis No.247, Babakan",-6.93666,107.57037,085175004038,40221
AC62,KF Antapani 2,4,BASIC_HEALTH,1/1/1950,Jl.purwakarta no 162 RT/RW 01/04 kelurahan antapani kidul antapani,-6.917406,107.657942,081110678362,
AC63,KF Parahyangan,4,BASIC_HEALTH,1/1/1950,"Ruko Pancawarna no 27 Kota Baru Parahyangan, Kelurahan Cipeundeuy",-6.86809,107.4675852,08112312072,40553
3169,UNIT BISNIS BANGKA BELITUNG,5,NONE,1/1/1950,,0,0,0,
CQ01,KF 0118,5,MEDICAL,1/5/2024,Jl. Jend. A. Yani No.96Batin T,-2.122221,106.10865,8117847841,33121
CQ02,KF Pel.029 RSUD Pangkal Pinang,5,MEDICAL,1/5/2024,Jl. Mayor Syafri Rahman Komp.,-2.143688,106.125029,628,33146
CQ03,KF.0503 Suta,5,BASIC_HEALTH,1/5/2024,Jl.Mentok No 48,-2.13311,106.106911,8117853185,75559
CQ04,KF.0539 Sudirman S Liat,5,BASIC_HEALTH,1/5/2024,Jl. Jend Sudirman Sungai Liat,-1.880442,106.114429,8117853187,33215
CQ05,KF Sungai Liat 2,5,BASIC_HEALTH,1/5/2024,,0,0,0,
CQ06,KF Semabung Baru,5,BASIC_HEALTH,1/5/2024,,0,0,0,
CQ07,KF Sijuk,5,BASIC_HEALTH,1/5/2024,,0,0,0,
CQ08,KF Sriwijaya,5,BASIC_HEALTH,1/5/2024,,0,0,0,
3107,UNIT BISNIS BANJARMASIN,6,NONE,1/1/1950,,0,0,0,
AG01,KF.0061,6,MEDICAL,1/1/2003,Jl. Veteran No. 51,-3.3199127,114.5967686,08115137810,84119
AG02,KF.0120,6,HEALTH_AND_CARE,1/1/2003,"Jl. A. Yani Km 3,5 No. 134",-3.32852,114.60941,08115137811,70235
AG03,KF.0188,6,BASIC_HEALTH,1/1/2003,Jl. S. Parman No. 42,-3.313134,114.589776,08115137812,70114
AG04,KF.0217,6,MEDICAL,1/1/2003,Jl. A. Yani Km 2 No. 136,-3.323809,114.601876,08115137813,29282
AG05,KF.0246 CEMPAKA,6,BASIC_HEALTH,1/1/2003,Jl. Cempaka Besar No. 18,-3.32346,114.58517,08115137814,70112
AG06,KF.0265,6,HEALTH_AND_CARE,1/1/2003,Jl. A. Yani No. 49,-3.019471,114.389732,081110678364,73513
AG07,KF.0336 Antasari,6,MEDICAL,1/1/2008,Jl. Pangeran Antasari No. 91,-3.327803,114.605813,08115137816,70234
AG08,KF 383 S.Parman-2,6,NONE,1/1/2010,Jalan S.Parman No.161 RT 01/001,-3.30455,114.58785,08115137817,70112
AG09,KF.0433 A Yani 59,6,MEDICAL,5/1/2013,"Jl. A.Yani, Pemurus Luar",-3.359522,114.633507,08115137818,70654
AG10,KF 444 Gatsu,6,BASIC_HEALTH,6/1/2013,Jl. Gatot Subroto,-3.3263055,114.6172311,08115137819,70234
AG11,KF.0546 SUTOYO,6,BASIC_HEALTH,8/1/2014,Jl. Sutoyo S No.176 B,-3.321844,114.576678,08115137820,70117
AG12,KF.Zahri Saleh,6,BASIC_HEALTH,10/1/2014,Jl.Sultan Adam No.1 Rt.20 Rw.02,-3.304938,114.602051,08115137821,70122
AG13,KF Handil,6,NONE,2/16/2016,"Jl. Trans Kalimantan Handil Bakti Rt. 09 , Kab. Barito Kuala",-3.269528,114.601564,08115137822,70582
AG14,KF Pramuka,6,BASIC_HEALTH,3/16/2016,Jl.  Pramuka RT 30 Pemurus Luar,-3.342962,114.629004,08115137823,70236
AG15,KF GAMBUT,6,BASIC_HEALTH,9/16/2016,"Jl.  A. Yani KM 13,8 Gambut, Kab. Banjar",-3.403261,114.667637,08115137824,71315
AG17,KF Belitung Darat,6,NULL,5/1/2017,Jl. Belitumg Darat No.38,-3.3052928,114.585682,05114321526,70112
AG18,ApotekKF.Pulpis,6,NULL,10/1/2017,Jl. Wad Dhuha Komplek Perkantoran Pulang Pisau,-2.793814,114.265232,085251959624,74861
AG19,ApotekKF.0111,6,MEDICAL,1/1/2003,Jl.AYaniTimurNo.10Km34,-3.442511,114.827132,08115137825,70714
AG20,ApotekKF.0179Martapura,6,BASIC_HEALTH,1/1/2003,"Jl.AYaniKm39,5No.47",-3.415487,114.850115,08115137826,70613
AG21,ApotekKF.0431Mistar,6,BASIC_HEALTH,3/1/2013,"Jl. H. Mistar Cokrokusumo No.3-4, RT.015/RW.003",-3.44751,114.846869,08115137839,70714
AG22,ApotekKF.0517GuntungPayung,6,MEDICAL,2/1/2014,"HQ2X+3PM, Jl. Ahmad Yani Jl. A. Yani",-3.449778,114.799343,08115137828,70724
AG23,ApotekKF.0622Amaco,6,MEDICAL,1/1/2015,Jl.PanglimaBaturBarat,-3.43879,114.824087,081110678405,70714
AG25,ApotekKF.0732Pelaihari,6,MEDICAL,8/1/2016,Jl.H Boejasin Rt.21,-3.80061,114.776536,081110678375,70814
AG26,ApotekKFKandangan,6,MEDICAL,10/16/2016,Jl.PanglimaBaturRt.015Rw.002,-2.784411,115.267391,08115137831,71211
AG27,ApotekKFTanjung,6,BASIC_HEALTH,11/16/2016,Jl. Ir. PH. Moch. Noor,-2.17151,115.41454,08115137832,71571
AG28,ApotekKFBatulicin,6,BASIC_HEALTH,1/1/2017,"JL Raya Batulicin NO 153 RT.05 RW.02 Kel. Kampung Baru Kec.Simpang Empat , Tanah Bumbu",-3.4252273,116.0045451,08115137833,29566
AG29,KF LANDASAN ULIN,6,MEDICAL,8/1/2018,Jl. A. Yani KM 25 Banjarbaru,-3.442725,114.74733,08115137834,70723
AG31,APT KIMIA FARMA SULTAN ADAM 2,6,BASIC_HEALTH,12/1/2018,Jl. Sultan Adam No.10,-3.29237,114.59923,08115137835,70123
AG32,APT KIMIA FARMA KOTABARU,6,HEALTH_AND_CARE,10/1/2018,Jl. Veteran No.12,-3.246135,116.222711,08115137836,46156
AG33,KF POS Barabai,6,MEDICAL,2/1/2020,Jl. IR PHM Noor,-2.584491,115.383252,08115137837,71313
AG34,KF Balangan,6,MEDICAL,2/1/2020,Jl. A Yani Rt. 05 Rw.01,-2.341548,115.46054,08115137838,70565
AG36,KF Sungai Danau,6,BASIC_HEALTH,1/1/1950,Jl. Jend. Ahmad Yani Sungai Danau,-3.77778,115.40309,082155730970,72275
AG37,KF Plajau,6,MEDICAL,1/1/1950,"Jl. Transmigrasi Plajau, Baroqah, Kec. Simpang Empat, Kabupaten Tanah Bumbu, Kalimantan Selatan",-3.4161,115.9886269,000000,72275
3108,UNIT BISNIS BATAM,7,NULL,1/1/1950,-,0,0,0,29431
AH01,KF.0059 Nagoya,7,SUPER_STORE,1/1/2003,Jl. Imam Bonjol Lubuk Baja,1.143176,104.01455,081110678377,29444
